,dataset,model_name,rmse_scores,mae_scores,mape_scores,rmse_mean,mae_mean,mape_mean,rmse_std,mae_std,mape_std
0,daily,AdaBoost,"[np.float64(175178.64926589164), np.float64(179498.64214692198), np.float64(90937.75599408793), np.float64(89860.62581885624), np.float64(146725.73492669253), np.float64(191554.1212898905), np.float64(70060.11223861095), np.float64(47975.952502026754), np.float64(66970.15181371388), np.float64(144952.3128373908), np.float64(70697.42691744825), np.float64(96901.6887284369), np.float64(129189.79289995154), np.float64(102725.07752581142), np.float64(109173.23739177802), np.float64(196129.31898989432), np.float64(90454.5857674881), np.float64(94586.86719059576), np.float64(183312.75014428448), np.float64(85786.08194624331), np.float64(67046.68294374476), np.float64(70107.23771846684), np.float64(88933.46663249997), np.float64(92323.99788519231), np.float64(112375.78833285332)]","[157594.83034987116, 160519.90853229788, 71928.4623160117, 61176.22943881681, 110586.50997183465, 114804.63320325917, 50620.06107730358, 39077.490110867846, 47885.84408553035, 105164.31856280092, 52340.31183780837, 74467.37965176767, 98567.5000027619, 73694.61807982536, 81815.02520723175, 141702.44379779615, 66265.5849308789, 66258.40960240176, 121434.21725250517, 62853.68300848637, 50996.70520902941, 50161.00542125921, 64372.77954737291, 71964.50416618875, 86504.09520222546]","[np.float64(24.68644174644678), np.float64(37.31861378253357), np.float64(10.433416370713125), np.float64(8.989771026104043), np.float64(13.25293997922902), np.float64(208.64698260486026), np.float64(9.379209973044407), np.float64(8.027425524151923), np.float64(8.66525001559768), np.float64(13.765873617730618), np.float64(6.966401074407737), np.float64(9.552707923094545), np.float64(11.73928084713126), np.float64(9.481150533183996), np.float64(9.115957390029825), np.float64(128.7264295804357), np.float64(8.472457807405624), np.float64(8.127990274254254), np.float64(12.563752789364543), np.float64(8.00560948313529), np.float64(6.71754523365104), np.float64(6.881689966762626), np.float64(7.834096195026024), np.float64(8.850403696044296), np.float64(9.612784982975981)]",111738.32239395089,83310.26202264533,23.832567296692563,43184.41358599065,33740.65939721008,44.64242231273197
1,daily,XGBoost,"[np.float64(179988.16278181915), np.float64(145589.499852134), np.float64(79274.67451656087), np.float64(87433.37140562564), np.float64(126558.01148533094), np.float64(154007.03724567982), np.float64(79811.60219089821), np.float64(39181.82568177631), np.float64(61472.00264874624), np.float64(153196.81144981543), np.float64(69707.78183592617), np.float64(86550.33369454317), np.float64(104137.77729050154), np.float64(88887.42643883996), np.float64(73381.63282459875), np.float64(220313.23255927992), np.float64(90807.93663008243), np.float64(73190.38524613414), np.float64(155219.07333706322), np.float64(88871.2258463505), np.float64(53361.79740054748), np.float64(60458.641104082344), np.float64(72754.48484103422), np.float64(80577.6425820143), np.float64(85943.87611726769)]","[157631.62133611113, 136653.97245138887, 62768.69895555558, 62958.48038611112, 91442.52839444444, 79871.81291666668, 55421.53641666667, 28188.578083333334, 42972.53127777777, 114890.75686805556, 50370.490173611106, 62028.55569444444, 86414.07824999999, 67427.19683333334, 53113.01352777777, 172481.25465972224, 65513.289715277795, 52001.70281944445, 104576.68661111112, 68702.21666666666, 39805.360791666666, 43832.488513888886, 53503.77077777779, 64086.24886111112, 71599.09733333334]","[np.float64(24.38237614634605), np.float64(30.047570130371916), np.float64(9.817697146328259), np.float64(9.781380227592425), np.float64(10.783074890262718), np.float64(182.24195027393802), np.float64(10.197589503771), np.float64(5.7194530245909405), np.float64(7.653438416999), np.float64(14.819577621082578), np.float64(6.618865481663298), np.float64(7.875162298547283), np.float64(10.650380494989594), np.float64(9.04240803833552), np.float64(6.063819599487736), np.float64(119.3548050859307), np.float64(8.465063466925882), np.float64(6.495923021509581), np.float64(11.02821604198728), np.float64(8.917814853446954), np.float64(5.327533986876822), np.float64(6.027875862260511), np.float64(6.841409865069499), np.float64(8.249836859226772), np.float64(8.552461030347931)]",100427.0498802661,75530.2387326111,21.398227334715536,43154.21949324567,35599.35745247879,39.56600070726278
2,weekly,AdaBoost,"[np.float64(475637.77633484214), np.float64(507992.17222564283), np.float64(523233.28751709766), np.float64(884460.4272988635), np.float64(375786.8199514948), np.float64(268020.6619367771), np.float64(184914.46679248524), np.float64(501126.9923097942), np.float64(645616.9073039729), np.float64(571310.2601610217), np.float64(211442.10717852716), np.float64(773074.785268972), np.float64(282410.5198530547), np.float64(346803.5944477189), np.float64(991382.2265113422), np.float64(123510.04915059908), np.float64(370718.7705536729), np.float64(1037071.9929471981), np.float64(393098.9658383297), np.float64(245732.3493031659), np.float64(389143.49582708103), np.float64(303657.8680205197), np.float64(248000.97873695934), np.float64(484583.44822642894), np.float64(854221.3245622976)]","[311763.3534199999, 419998.4233839996, 394719.54535888846, 799190.4002935713, 331165.66728777764, 252118.65840000007, 164002.82898452395, 390947.07177626994, 542041.7726321094, 469540.8352133015, 167945.83937942237, 653419.2015826243, 259356.878244571, 333800.33119531703, 909465.9135161409, 108788.14311978276, 280418.4776632741, 657833.5624676095, 324718.23921128624, 201964.51125714704, 369631.39605040697, 290681.43219524605, 230659.1021711154, 449715.8487191487, 803992.8425309848]","[np.float64(6.704528543156453), np.float64(8.642621871683184), np.float64(8.59265050492157), np.float64(14.652978025452217), np.float64(9.481908656227475), np.float64(7.139825511701526), np.float64(4.719044628236516), np.float64(10.449648127974635), np.float64(10.904288629449317), np.float64(8.931077207633665), np.float64(3.2485634690662706), np.float64(11.167816514713369), np.float64(4.89947789118939), np.float64(6.262079189545839), np.float64(14.758599007489096), np.float64(2.068242650053742), np.float64(5.073104091845311), np.float64(9.684366697750562), np.float64(5.653650631682243), np.float64(3.925649255041079), np.float64(7.411661135880973), np.float64(5.5253144557231), np.float64(4.351735687870247), np.float64(7.992146573554251), np.float64(12.450452112523273)]",479718.0899303144,404715.2110421807,7.7876572428146105,250334.19050392826,209178.73896175477,3.3092952176929016
3,weekly,XGBoost,"[np.float64(584277.1352836012), np.float64(395606.601876959), np.float64(871427.2587800378), np.float64(844277.2412286277), np.float64(197519.3291906878), np.float64(330752.50059216993), np.float64(172217.1913490841), np.float64(257130.81817965567), np.float64(659542.6231764258), np.float64(375857.43051810144), np.float64(414049.813209682), np.float64(756123.4550625004), np.float64(360587.08313228714), np.float64(514982.0220997689), np.float64(1028450.0046834478), np.float64(468628.5386012231), np.float64(393153.3433907225), np.float64(1045254.4022703337), np.float64(399492.5879060144), np.float64(359742.0672691264), np.float64(530439.6107611395), np.float64(359270.38177094073), np.float64(211436.55819800103), np.float64(412353.9761937632), np.float64(610919.9901185427)]","[420760.3327, 304642.30199999997, 664660.13434, 775104.3883400001, 180421.90019999995, 292617.6888, 144721.53519999998, 221731.2528, 543925.7674000002, 251533.2642000001, 364458.6146, 693543.6784, 304899.55320000014, 467210.1437999997, 949922.8174000003, 400999.0252000002, 323055.2226, 626586.324, 359976.3153999999, 264855.9722000001, 468905.4392000001, 240870.22559999992, 175925.10199999996, 389819.13300000003, 564380.0726]","[np.float64(9.4052575125883), np.float64(6.218499735594199), np.float64(13.857500192994928), np.float64(14.258335562150085), np.float64(4.894895679848092), np.float64(8.306420454135502), np.float64(4.070458992372501), np.float64(6.091758431730949), np.float64(10.920574637652422), np.float64(4.67453841358175), np.float64(7.109636021098255), np.float64(12.047527165265763), np.float64(5.893484544745753), np.float64(8.837238348648894), np.float64(15.468086724185802), np.float64(7.557300599964681), np.float64(5.945094766937328), np.float64(9.175007478393576), np.float64(6.58493137832426), np.float64(5.141391684793475), np.float64(9.435636661797393), np.float64(4.720356076310115), np.float64(3.30597393394179), np.float64(6.963900769047418), np.float64(8.807248334258922)]",502139.67859371373,415821.0482072,7.9876421640144875,239764.15724620188,200140.39907585844,3.210382106582623
4,monthly,AdaBoost,"[np.float64(5634713.148600001), np.float64(1154526.2080000006), np.float64(4933026.687600002), np.float64(643547.3469999991), np.float64(2775304.072999999), np.float64(3872754.1050000004), np.float64(606499.688000001), np.float64(1360555.892000001), np.float64(277208.2359999977), np.float64(775983.3050000034), np.float64(1073309.297000002), np.float64(3943064.707166668), np.float64(1972195.3016666658), np.float64(1911936.7954249978), np.float64(160821.02937499806), np.float64(2876342.978666667), np.float64(1601319.5605000034), np.float64(2357781.834250003), np.float64(356954.81183333695), np.float64(1504948.172385715), np.float64(711165.544090908), np.float64(820284.0743125044), np.float64(1441619.1323000006), np.float64(4935212.655000001), np.float64(2747977.3093333356)]","[5634713.148600001, 1154526.2080000006, 4933026.687600002, 643547.3469999991, 2775304.072999999, 3872754.1050000004, 606499.688000001, 1360555.892000001, 277208.2359999977, 775983.3050000034, 1073309.297000002, 3943064.707166668, 1972195.3016666658, 1911936.7954249978, 160821.02937499806, 2876342.978666667, 1601319.5605000034, 2357781.834250003, 356954.81183333695, 1504948.172385715, 711165.544090908, 820284.0743125044, 1441619.1323000006, 4935212.655000001, 2747977.3093333356]","[np.float64(37.8246828793677), np.float64(8.401200960136963), np.float64(31.624788827512585), np.float64(4.303208008804468), np.float64(15.652831689225838), np.float64(17.926829092149415), np.float64(2.7307974724716377), np.float64(5.92481794385859), np.float64(1.1927612313100968), np.float64(3.249747891698133), np.float64(4.706474627647716), np.float64(14.473161898467804), np.float64(8.225093473142287), np.float64(8.711446985783756), np.float64(0.6952385163884711), np.float64(11.079870279750333), np.float64(6.466475607116615), np.float64(10.616230488961234), np.float64(1.5213732712778496), np.float64(6.702834497309293), np.float64(3.1723752531396823), np.float64(3.413528239848336), np.float64(5.850115111068843), np.float64(16.651524075645067), np.float64(10.437423638252648)]",2017962.0757402324,2017962.0757402324,9.662193278413415,1547259.4933639301,1547259.4933639301,8.830030031821671
5,monthly,XGBoost,"[np.float64(5634720.943), np.float64(1154552.1510000005), np.float64(1856186.5179999992), np.float64(175147.8289999999), np.float64(2719382.243999999), np.float64(1209432.3489999995), np.float64(764290.0370000005), np.float64(2097500.2410000004), np.float64(1098795.523000002), np.float64(1237273.6640000008), np.float64(1061187.6330000013), np.float64(3026453.675999999), np.float64(521483.8830000013), np.float64(2828406.197999999), np.float64(366413.8839999996), np.float64(3103062.1059999987), np.float64(1488591.2580000013), np.float64(449309.4200000018), np.float64(979624.5720000006), np.float64(3249883.682), np.float64(1405694.9030000009), np.float64(158510.18200000003), np.float64(965997.1959999986), np.float64(5058021.881999999), np.float64(2382070.9360000007)]","[5634720.943, 1154552.1510000005, 1856186.5179999992, 175147.8289999999, 2719382.243999999, 1209432.3489999995, 764290.0370000005, 2097500.2410000004, 1098795.523000002, 1237273.6640000008, 1061187.6330000013, 3026453.675999999, 521483.8830000013, 2828406.197999999, 366413.8839999996, 3103062.1059999987, 1488591.2580000013, 449309.4200000018, 979624.5720000006, 3249883.682, 1405694.9030000009, 158510.18200000003, 965997.1959999986, 5058021.881999999, 2382070.9360000007]","[np.float64(37.82473520158898), np.float64(8.401389740915604), np.float64(11.899693712134589), np.float64(1.1711609782730035), np.float64(15.337430221831145), np.float64(5.598415605846938), np.float64(3.441257007332298), np.float64(9.133992317549355), np.float64(4.72785628552362), np.float64(5.181590190316799), np.float64(4.653320980120078), np.float64(11.108707891947242), np.float64(2.174862539621425), np.float64(12.887199360929792), np.float64(1.5840281963516698), np.float64(11.953207896099537), np.float64(6.011254278201908), np.float64(2.0230762211715865), np.float64(4.175247371153701), np.float64(14.474539958023946), np.float64(6.270539624416542), np.float64(0.6596239028704636), np.float64(3.9200331536621906), np.float64(17.065885308494888), np.float64(9.047630564836341)]",1799679.7164000005,1799679.7164000005,8.429067140368547,1394554.034228603,1394554.034228603,7.578245417405071
